MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet365_H,bet365_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,bwin_H,bwin_A,bet-at-home_H,bet-at-home_A,1xBet_H,1xBet_A,Marathonbet_H,Marathonbet_A,nan_H,nan_A
60,2011-2012,Baltimore Ravens,San Francisco 49ers,2011-11-25,16.0,6.0,-175.0,0.929269328802039,-175.0,0.929269328802039,-182.0,0.9294724477810121,-175.0,0.929269328802039,-200.0,0.9299297903008322,-182.0,0.9294724477810121,Na,Na,Na,Na,Na,Na
61,2011-2012,Houston Texans,Cleveland Browns,2011-11-06,30.0,12.0,-556.0,0.9329015587509858,-526.0,0.9328060437319334,442.0,0.9366986670057431,-714.0,0.9332723351414941,-526.0,0.9328060437319334,-714.0,0.9332723351414941,Na,Na,Na,Na,Na,Na
62,2011-2012,Kansas City Chiefs,Miami Dolphins,2011-11-06,3.0,31.0,-233.0,0.9305855100247622,-238.0,0.9306690650295233,214.0,0.9389671361502346,-238.0,0.9306690650295233,-333.0,0.9317812972186468,-222.0,0.9303885000628641,Na,Na,Na,Na,Na,Na
63,2011-2012,Kansas City Chiefs,Los Angeles Chargers,2011-11-01,23.0,20.0,170.0,0.9401094951059005,166.0,0.940243557065987,160.0,0.9404572973608416,160.0,0.9404572973608416,165.0,0.9402780943697288,150.0,0.940851784482218,Na,Na,Na,Na,Na,Na
64,2011-2012,Philadelphia Eagles,Dallas Cowboys,2011-10-31,34.0,7.0,-192.0,0.9297370587380758,-185.0,0.9295548186111948,-182.0,0.9294724477810121,-179.0,0.92938733125649,-182.0,0.9294724477810121,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
65,2011-2012,Pittsburgh Steelers,New England Patriots,2011-10-30,25.0,17.0,135.0,0.9415539126795927,136.0,0.9415022499134648,125.0,0.9421163702140487,129.0,0.9418808411214952,-110.0,0.9261598046644777,120.0,0.9424330479855493,Na,Na,Na,Na,Na,Na
66,2011-2012,San Francisco 49ers,Cleveland Browns,2011-10-30,20.0,10.0,-500.0,0.9327140112298766,-476.0,0.9326201532161679,400.0,0.9369217436113648,-500.0,0.9327140112298766,-500.0,0.9327140112298766,-500.0,0.9327140112298766,Na,Na,Na,Na,Na,Na
67,2011-2012,Seattle Seahawks,Cincinnati Bengals,2011-10-30,12.0,34.0,129.0,0.9418808411214952,116.0,0.9427062169849654,125.0,0.9421163702140487,129.0,0.9418808411214952,-200.0,0.9299297903008322,129.0,0.9418808411214952,Na,Na,Na,Na,Na,Na
68,2011-2012,Carolina Panthers,New Orleans Saints,2011-10-09,27.0,30.0,225.0,0.9387516688918558,231.0,0.9386428281186509,-263.0,0.9310393656188048,250.0,0.9383327703336711,200.0,0.9392758183440566,210.0,0.9390511112104815,Na,Na,Na,Na,Na,Na
69,2011-2012,Houston Texans,Las Vegas Raiders,2011-10-09,20.0,25.0,-263.0,0.9310393656188048,-250.0,0.93085601519157,-250.0,0.93085601519157,-250.0,0.93085601519157,-250.0,0.93085601519157,-286.0,0.9313230648995406,Na,Na,Na,Na,Na,Na
70,2011-2012,Jacksonville Jaguars,Cincinnati Bengals,2011-10-09,20.0,30.0,-135.0,0.9277075316107751,-130.0,0.9274452450595705,-133.0,0.9276049658250801,-141.0,0.9279978939054889,-189.0,0.9296606000983767,-143.0,0.9280893042575284,Na,Na,Na,Na,Na,Na
71,2011-2012,Pittsburgh Steelers,Tennessee Titans,2011-10-09,38.0,17.0,-233.0,0.9305855100247622,-159.0,0.9287383177570093,-200.0,0.9299297903008322,-189.0,0.9296606000983767,-385.0,0.932158248995206,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
72,2011-2012,Tampa Bay Buccaneers,Indianapolis Colts,2011-10-04,24.0,17.0,-667.0,0.9331803682354916,-455.0,0.9325299229381865,-714.0,0.9332723351414941,-500.0,0.9327140112298766,-556.0,0.9329015587509858,-500.0,0.9327140112298766,Na,Na,Na,Na,Na,Na
73,2011-2012,Baltimore Ravens,New York Jets,2011-10-03,34.0,17.0,-185.0,0.9295548186111948,-192.0,0.9297370587380758,-182.0,0.9294724477810121,-169.0,0.9290819131390873,-189.0,0.9296606000983767,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
74,2011-2012,Buffalo Bills,Las Vegas Raiders,2011-09-18,38.0,35.0,-200.0,0.9299297903008322,-196.0,0.9298353811850656,-182.0,0.9294724477810121,-200.0,0.9299297903008322,-120.0,0.9268556422337221,Na,Na,Na,Na,Na,Na,Na,Na
75,2011-2012,Detroit Lions,Kansas City Chiefs,2011-09-18,48.0,3.0,-435.0,0.9324359084283632,-417.0,0.9323436032732639,361.0,0.9371754932502595,-345.0,0.9318783426070982,-164.0,0.9289153214386858,-167.0,0.929016466399644,Na,Na,Na,Na,Na,Na
76,2011-2012,Denver Broncos,Las Vegas Raiders,2011-09-13,20.0,23.0,-116.0,0.9265915807971882,-164.0,0.9289153214386858,147.0,0.9409806682883114,-120.0,0.9268556422337221,-133.0,0.9276049658250801,-133.0,0.9276049658250801,Na,Na,Na,Na,Na,Na
77,2011-2012,Miami Dolphins,New England Patriots,2011-09-12,24.0,38.0,195.0,0.9393968590422968,289.0,0.9378245067497404,-333.0,0.9317812972186468,179.0,0.9398298855402709,179.0,0.9398298855402709,170.0,0.9401094951059005,Na,Na,Na,Na,Na,Na
78,2011-2012,New York Jets,Dallas Cowboys,2011-09-12,27.0,24.0,-222.0,0.9303885000628641,-227.0,0.9304804066240366,-250.0,0.93085601519157,-149.0,0.9283489096573206,-213.0,0.9302122456109703,-222.0,0.9303885000628641,Na,Na,Na,Na,Na,Na
79,2011-2012,New York Giants,Chicago Bears,2011-08-23,41.0,13.0,-213.0,0.9302122456109703,-200.0,0.9299297903008322,Na,Na,-200.0,0.9299297903008322,-213.0,0.9302122456109703,-222.0,0.9303885000628641,Na,Na,Na,Na,Na,Na
80,2011-2012,Dallas Cowboys,Los Angeles Chargers,2011-08-22,7.0,20.0,-116.0,0.9265915807971882,-115.0,0.926522719948437,Na,Na,104.0,0.943653026041194,-115.0,0.926522719948437,-125.0,0.9271621421154131,Na,Na,Na,Na,Na,Na
81,2011-2012,New York Jets,Cincinnati Bengals,2011-08-21,27.0,7.0,-278.0,0.9312296921582421,-263.0,0.9310393656188048,Na,Na,-278.0,0.9312296921582421,-303.0,0.9315051647811118,-286.0,0.9313230648995406,Na,Na,Na,Na,Na,Na
82,2011-2012,Seattle Seahawks,Minnesota Vikings,2011-08-21,7.0,20.0,-152.0,0.9284710769042819,-145.0,0.9281782102163615,Na,Na,-149.0,0.9283489096573206,-154.0,0.9285498944829664,-154.0,0.9285498944829664,Na,Na,Na,Na,Na,Na
83,2011-2012,Denver Broncos,Buffalo Bills,2011-08-21,24.0,10.0,-200.0,0.9299297903008322,-196.0,0.9298353811850656,Na,Na,-200.0,0.9299297903008322,-208.0,0.9301077672941913,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
84,2011-2012,Houston Texans,New Orleans Saints,2011-08-21,27.0,14.0,-125.0,0.9271621421154131,112.0,0.9429990738401953,Na,Na,-110.0,0.9261598046644777,-125.0,0.9271621421154131,-125.0,0.9271621421154131,Na,Na,Na,Na,Na,Na
85,2010-2011,Green Bay Packers,Pittsburgh Steelers,2011-02-06,31.0,25.0,-147.0,0.9282647133114422,-154.0,0.9285498944829664,-133.0,0.9276049658250801,-137.0,0.9278071244751456,-149.0,0.9283489096573206,-143.0,0.9280893042575284,Na,Na,Na,Na,Na,Na
86,2010-2011,NFC,AFC,2011-01-30,55.0,41.0,-120.0,0.9268556422337221,Na,Na,-125.0,0.9271621421154131,-120.0,0.9268556422337221,-115.0,0.926522719948437,-125.0,0.9271621421154131,Na,Na,Na,Na,Na,Na
87,2010-2011,Pittsburgh Steelers,New York Jets,2011-01-23,24.0,19.0,-182.0,0.9294724477810121,-185.0,0.9295548186111948,-192.0,0.9297370587380758,-179.0,0.92938733125649,-196.0,0.9298353811850656,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
88,2010-2011,Chicago Bears,Green Bay Packers,2011-01-23,14.0,21.0,150.0,0.940851784482218,154.0,0.9406878016003908,-172.0,0.9291772459618604,150.0,0.940851784482218,154.0,0.9406878016003908,150.0,0.940851784482218,Na,Na,Na,Na,Na,Na
89,2010-2011,New England Patriots,New York Jets,2011-01-16,21.0,28.0,-435.0,0.9324359084283632,-385.0,0.932158248995206,-500.0,0.9327140112298766,-400.0,0.9322488172093131,-417.0,0.9323436032732639,-400.0,0.9322488172093131,Na,Na,Na,Na,Na,Na
90,2010-2011,Chicago Bears,Seattle Seahawks,2011-01-16,35.0,24.0,-526.0,0.9328060437319334,-500.0,0.9327140112298766,423.0,0.9367940824733135,423.0,0.9367940824733135,-476.0,0.9326201532161679,-500.0,0.9327140112298766,Na,Na,Na,Na,Na,Na
91,2010-2011,Baltimore Ravens,New Orleans Saints,2010-12-19,30.0,24.0,-147.0,0.9282647133114422,-128.0,0.9273346373976672,-125.0,0.9271621421154131,-120.0,0.9268556422337221,-175.0,0.929269328802039,-125.0,0.9271621421154131,Na,Na,Na,Na,Na,Na
92,2010-2011,Carolina Panthers,Arizona Cardinals,2010-12-19,19.0,12.0,-152.0,0.9284710769042819,-145.0,0.9281782102163615,131.0,0.9417685118619696,-149.0,0.9283489096573206,-125.0,0.9271621421154131,-154.0,0.9285498944829664,Na,Na,Na,Na,Na,Na
93,2010-2011,Cincinnati Bengals,Cleveland Browns,2010-12-19,19.0,17.0,-132.0,0.9275525261752512,-123.0,0.9270425082906242,-125.0,0.9271621421154131,-130.0,0.9274452450595705,104.0,0.943653026041194,-133.0,0.9276049658250801,Na,Na,Na,Na,Na,Na
94,2010-2011,Dallas Cowboys,Washington Commanders,2010-12-19,33.0,30.0,-263.0,0.9310393656188048,-244.0,0.9307648292962044,-250.0,0.93085601519157,-250.0,0.93085601519157,-323.0,0.9316949348101996,-286.0,0.9313230648995406,Na,Na,Na,Na,Na,Na
95,2010-2011,Indianapolis Colts,Jacksonville Jaguars,2010-12-19,34.0,24.0,-233.0,0.9305855100247622,-222.0,0.9303885000628641,-250.0,0.93085601519157,-233.0,0.9305855100247622,-238.0,0.9306690650295233,-250.0,0.93085601519157,Na,Na,Na,Na,Na,Na
96,2010-2011,Los Angeles Rams,Kansas City Chiefs,2010-12-19,13.0,27.0,110.0,0.9431535625482292,102.0,0.943832701027112,-118.0,0.9267258305191235,-115.0,0.926522719948437,-125.0,0.9271621421154131,-154.0,0.9285498944829664,Na,Na,Na,Na,Na,Na
97,2010-2011,Miami Dolphins,Buffalo Bills,2010-12-19,14.0,17.0,-250.0,0.93085601519157,-233.0,0.9305855100247622,-222.0,0.9303885000628641,-238.0,0.9306690650295233,-238.0,0.9306690650295233,-250.0,0.93085601519157,Na,Na,Na,Na,Na,Na
98,2010-2011,New York Giants,Philadelphia Eagles,2010-12-19,31.0,38.0,-152.0,0.9284710769042819,-141.0,0.9279978939054889,127.0,0.9419967363892596,-149.0,0.9283489096573206,-154.0,0.9285498944829664,-167.0,0.929016466399644,Na,Na,Na,Na,Na,Na
99,2010-2011,Tampa Bay Buccaneers,Detroit Lions,2010-12-19,20.0,23.0,-286.0,0.9313230648995406,-278.0,0.9312296921582421,-250.0,0.93085601519157,-278.0,0.9312296921582421,-333.0,0.9317812972186468,-333.0,0.9317812972186468,Na,Na,Na,Na,Na,Na
100,2010-2011,Buffalo Bills,Pittsburgh Steelers,2010-11-28,16.0,19.0,220.0,0.9388469252763196,227.0,0.9387147465056654,-256.0,0.9309429433797592,220.0,0.9388469252763196,250.0,0.9383327703336711,210.0,0.9390511112104815,Na,Na,Na,Na,Na,Na
101,2010-2011,Cleveland Browns,Carolina Panthers,2010-11-28,24.0,23.0,-500.0,0.9327140112298766,-476.0,0.9326201532161679,-500.0,0.9327140112298766,-500.0,0.9327140112298766,-278.0,0.9312296921582421,-500.0,0.9327140112298766,Na,Na,Na,Na,Na,Na
102,2010-2011,Houston Texans,Tennessee Titans,2010-11-28,20.0,0.0,-286.0,0.9313230648995406,-278.0,0.9312296921582421,-270.0,0.9311308066351691,-270.0,0.9311308066351691,-110.0,0.9261598046644777,-286.0,0.9313230648995406,Na,Na,Na,Na,Na,Na
