index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
290;Figueirense - Gremio;1xBet;+177;+240;+172;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
291;Figueirense - Gremio;bet-at-home;+135;+199;+204;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
292;Figueirense - Gremio;bet365;+150;+200;+200;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
293;Figueirense - Gremio;bwin;+145;+190;+185;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
294;Figueirense - Gremio;Marathonbet;+177;+240;+170;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
295;Figueirense - Gremio;Pinnacle;+163;+225;+195;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
296;Figueirense - Gremio;Unibet;+135;+220;+190;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
297;Figueirense - Gremio;William Hill;+190;+190;+190;Saturday, 29 Oct 2016, 21:30;Final result 0:0 (0:0, 0:0);1;Figueirense;Gremio;29 Oct 2016; 0;0 ;2016
319;Santos - Palmeiras;1xBet;+131;+240;+236;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
320;Santos - Palmeiras;bet-at-home;+129;+214;+197;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
321;Santos - Palmeiras;bet365;+129;+210;+229;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
322;Santos - Palmeiras;bwin;-139;+240;+350;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
323;Santos - Palmeiras;Marathonbet;+129;+240;+236;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
324;Santos - Palmeiras;Pinnacle;+142;+236;+218;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
325;Santos - Palmeiras;Unibet;+129;+220;+200;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
326;Santos - Palmeiras;William Hill;+200;+200;+200;Saturday, 29 Oct 2016, 21:30;Final result 1:0 (0:0, 1:0);1;Santos;Palmeiras;29 Oct 2016; 1;0 ;2016
348;Botafogo RJ - Coritiba;1xBet;-161;+290;+565;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
349;Botafogo RJ - Coritiba;bet-at-home;-147;+244;+390;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
350;Botafogo RJ - Coritiba;bet365;-137;+229;+450;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
351;Botafogo RJ - Coritiba;bwin;-133;+229;+350;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
352;Botafogo RJ - Coritiba;Marathonbet;-167;+290;+590;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
353;Botafogo RJ - Coritiba;Pinnacle;-127;+268;+416;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
354;Botafogo RJ - Coritiba;Unibet;-143;+240;+400;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
355;Botafogo RJ - Coritiba;William Hill;+400;+400;+400;Saturday, 29 Oct 2016, 20:30;Final result 0:0 (0:0, 0:0);1;Botafogo RJ;Coritiba;29 Oct 2016; 0;0 ;2016
377;Internacional - Santa Cruz;1xBet;-244;+400;+780;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
378;Internacional - Santa Cruz;bet-at-home;-333;+362;+843;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
379;Internacional - Santa Cruz;bet365;-286;+350;+900;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
