index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
581;New York Red Bulls - Los Angeles Galaxy;bwin;+160;+204;+150;Saturday, 19 Jun 2004, 20:00;Final result 2:1 (1:0, 1:1);1;New York Red Bulls;Los Angeles Galaxy;19 Jun 2004; 2;1 ;2004
582;New York Red Bulls - Los Angeles Galaxy;William Hill;+129;+200;+179;Saturday, 19 Jun 2004, 20:00;Final result 2:1 (1:0, 1:1);1;New York Red Bulls;Los Angeles Galaxy;19 Jun 2004; 2;1 ;2004
609;Columbus Crew - Sporting Kansas City;bet-at-home;+104;+210;+190;Saturday, 12 Jun 2004, 21:55;Final result 2:2 (1:2, 1:0);1;Columbus Crew;Sporting Kansas City;12 Jun 2004; 2;2 ;2004
610;Columbus Crew - Sporting Kansas City;bwin;+120;+200;+210;Saturday, 12 Jun 2004, 21:55;Final result 2:2 (1:2, 1:0);1;Columbus Crew;Sporting Kansas City;12 Jun 2004; 2;2 ;2004
611;Columbus Crew - Sporting Kansas City;William Hill;+110;+200;+220;Saturday, 12 Jun 2004, 21:55;Final result 2:2 (1:2, 1:0);1;Columbus Crew;Sporting Kansas City;12 Jun 2004; 2;2 ;2004
638;DC United - Colorado Rapids;bet-at-home;+100;+210;+200;Saturday, 12 Jun 2004, 21:55;Final result 0:0 (0:0, 0:0);1;DC United;Colorado Rapids;12 Jun 2004; 0;0 ;2004
639;DC United - Colorado Rapids;bwin;+110;+210;+220;Saturday, 12 Jun 2004, 21:55;Final result 0:0 (0:0, 0:0);1;DC United;Colorado Rapids;12 Jun 2004; 0;0 ;2004
640;DC United - Colorado Rapids;William Hill;+100;+200;+240;Saturday, 12 Jun 2004, 21:55;Final result 0:0 (0:0, 0:0);1;DC United;Colorado Rapids;12 Jun 2004; 0;0 ;2004
667;Chicago Fire - FC Dallas;bet-at-home;-182;+250;+330;Saturday, 17 Apr 2004, 21:55;Final result 0:2 (0:1, 0:1);1;Chicago Fire;FC Dallas;17 Apr 2004; 0;2 ;2004
668;Chicago Fire - FC Dallas;bwin;-182;+250;+450;Saturday, 17 Apr 2004, 21:55;Final result 0:2 (0:1, 0:1);1;Chicago Fire;FC Dallas;17 Apr 2004; 0;2 ;2004
669;Chicago Fire - FC Dallas;William Hill;-182;+254;+400;Saturday, 17 Apr 2004, 21:55;Final result 0:2 (0:1, 0:1);1;Chicago Fire;FC Dallas;17 Apr 2004; 0;2 ;2004
696;Sporting Kansas City - Columbus Crew;bet-at-home;-125;+229;+229;Saturday, 17 Apr 2004, 21:55;Final result 1:0 (1:0, 0:0);1;Sporting Kansas City;Columbus Crew;17 Apr 2004; 1;0 ;2004
697;Sporting Kansas City - Columbus Crew;bwin;-125;+225;+300;Saturday, 17 Apr 2004, 21:55;Final result 1:0 (1:0, 0:0);1;Sporting Kansas City;Columbus Crew;17 Apr 2004; 1;0 ;2004
698;Sporting Kansas City - Columbus Crew;William Hill;-143;+229;+320;Saturday, 17 Apr 2004, 21:55;Final result 1:0 (1:0, 0:0);1;Sporting Kansas City;Columbus Crew;17 Apr 2004; 1;0 ;2004
725;New York Red Bulls - DC United;bet-at-home;+100;+220;+190;Saturday, 17 Apr 2004, 20:00;Final result 3:2 (0:1, 3:1);1;New York Red Bulls;DC United;17 Apr 2004; 3;2 ;2004
726;New York Red Bulls - DC United;bwin;+100;+225;+225;Saturday, 17 Apr 2004, 20:00;Final result 3:2 (0:1, 3:1);1;New York Red Bulls;DC United;17 Apr 2004; 3;2 ;2004
727;New York Red Bulls - DC United;William Hill;+100;+210;+229;Saturday, 17 Apr 2004, 20:00;Final result 3:2 (0:1, 3:1);1;New York Red Bulls;DC United;17 Apr 2004; 3;2 ;2004
754;Los Angeles Galaxy - DC United;bet-at-home;-111;+220;+220;Saturday, 10 Apr 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;DC United;10 Apr 2004; 1;1 ;2004
755;Los Angeles Galaxy - DC United;bwin;-111;+220;+265;Saturday, 10 Apr 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;DC United;10 Apr 2004; 1;1 ;2004
756;Los Angeles Galaxy - DC United;William Hill;-118;+210;+280;Saturday, 10 Apr 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;DC United;10 Apr 2004; 1;1 ;2004
783;Houston Dynamo - Chicago Fire;bet-at-home;+129;+220;+129;Saturday, 10 Apr 2004, 20:00;Final result 0:0 (0:0, 0:0);1;Houston Dynamo;Chicago Fire;10 Apr 2004; 0;0 ;2004
784;Houston Dynamo - Chicago Fire;bwin;+140;+200;+175;Saturday, 10 Apr 2004, 20:00;Final result 0:0 (0:0, 0:0);1;Houston Dynamo;Chicago Fire;10 Apr 2004; 0;0 ;2004
785;Houston Dynamo - Chicago Fire;William Hill;+120;+200;+200;Saturday, 10 Apr 2004, 20:00;Final result 0:0 (0:0, 0:0);1;Houston Dynamo;Chicago Fire;10 Apr 2004; 0;0 ;2004
812;Columbus Crew - New York Red Bulls;bet-at-home;+110;+210;+179;Saturday, 03 Apr 2004, 20:55;Final result 1:3 (1:1, 0:2);1;Columbus Crew;New York Red Bulls;03 Apr 2004; 1;3 ;2004
813;Columbus Crew - New York Red Bulls;bwin;+110;+220;+200;Saturday, 03 Apr 2004, 20:55;Final result 1:3 (1:1, 0:2);1;Columbus Crew;New York Red Bulls;03 Apr 2004; 1;3 ;2004
814;Columbus Crew - New York Red Bulls;William Hill;+110;+200;+220;Saturday, 03 Apr 2004, 20:55;Final result 1:3 (1:1, 0:2);1;Columbus Crew;New York Red Bulls;03 Apr 2004; 1;3 ;2004
