MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,BetJoe_H,BetJoe_A
36,2015,Rakuten Monkeys,Eda Rhinos,2015-09-18,4,20,1.82,1.99,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37,2015,Uni Lions,Chinatrust Brothers,2015-09-18,7,2,2.12,1.72,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
38,2015,Rakuten Monkeys,Chinatrust Brothers,2015-09-17,11,9,1.82,1.99,1.77,1.93,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
39,2015,Uni Lions,Eda Rhinos,2015-09-17,4,9,1.83,1.98,1.77,1.93,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
40,2015,Rakuten Monkeys,Chinatrust Brothers,2015-09-16,9,3,1.99,1.82,1.86,1.77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
41,2015,Uni Lions,Eda Rhinos,2015-09-16,5,9,2.3,1.62,2.1,1.6,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
42,2015,Uni Lions,Eda Rhinos,2015-09-15,2,1,1.77,2.06,1.7,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
43,2015,Chinatrust Brothers,Eda Rhinos,2015-09-13,4,0,1.62,2.3,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
44,2015,Uni Lions,Rakuten Monkeys,2015-09-13,7,9,1.99,1.82,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
45,2015,Chinatrust Brothers,Eda Rhinos,2015-09-12,5,4,1.57,2.41,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
46,2015,Uni Lions,Rakuten Monkeys,2015-09-12,7,9,1.99,1.82,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
