MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
3024,2019-2020,Anadolu Basket,Duzce Belediye,2020-03-17,82,78,Na,Na,1.57,2.15,Na,Na,1.62,2.15,Na,Na,1.62,2.2,1.65,2.16,1.67,2.14,1.66,2.19,1.62,2.2
3025,2019-2020,Samsun,Anadolu Basket,2020-03-14,81,71,Na,Na,1.82,1.82,Na,Na,1.85,1.85,Na,Na,Na,Na,1.86,1.88,1.9,1.86,1.82,1.88,Na,Na
3026,2019-2020,Balikesir,Yalova Bld.,2020-03-14,102,94,Na,Na,1.65,2.02,Na,Na,1.65,2.1,Na,Na,1.62,2.2,1.67,2.13,1.68,2.12,1.65,2.11,Na,Na
3027,2019-2020,Mamak Bld.,Bandirma Kirmizi,2020-03-14,84,79,Na,Na,1.6,2.1,Na,Na,1.65,2.1,Na,Na,Na,Na,1.49,2.51,1.46,2.64,1.54,2.32,Na,Na
3028,2019-2020,Manisa,Socar Spor,2020-03-14,70,85,Na,Na,3.0,1.3,Na,Na,3.3,1.28,Na,Na,3.25,1.33,3.1,1.34,3.09,1.35,3.1,1.32,Na,Na
3029,2019-2020,Final Spor,Konyaspor,2020-03-14,88,67,Na,Na,1.2,3.75,Na,Na,1.2,4.0,Na,Na,1.15,4.75,1.16,4.8,1.18,4.6,1.18,4.3,Na,Na
3030,2019-2020,Merkezefendi,Akhisar Belediye,2020-03-13,90,79,Na,Na,1.47,2.4,Na,Na,1.48,2.45,Na,Na,1.5,2.5,1.44,2.66,1.43,2.73,1.48,2.47,Na,Na
3031,2019-2020,Bornova,Gemlik,2020-03-13,85,71,Na,Na,1.03,8.0,Na,Na,1.17,4.4,Na,Na,1.17,4.5,1.08,6.95,1.08,7.1,1.17,4.4,Na,Na
3032,2019-2020,Duzce Belediye,Fethiye Bld.,2020-03-13,88,92,Na,Na,2.8,1.35,Na,Na,2.95,1.35,Na,Na,3.0,1.36,2.94,1.37,3.08,1.34,2.9,1.36,Na,Na
3033,2019-2020,Bandirma Kirmizi,Bornova,2020-08-03,68,71,Na,Na,1.35,2.75,Na,Na,1.36,2.9,Na,Na,Na,Na,1.4,2.81,1.46,2.63,1.56,2.39,Na,Na
3034,2019-2020,Socar Spor,Final Spor,2020-08-03,94,90,Na,Na,1.27,3.2,Na,Na,1.28,3.3,Na,Na,Na,Na,1.28,3.46,1.29,3.44,1.36,3.08,Na,Na
3035,2019-2020,Akhisar Belediye,Duzce Belediye,2020-07-03,69,71,Na,Na,1.04,7.2,Na,Na,1.04,8.5,Na,Na,Na,Na,1.02,10.75,1.03,11.0,1.08,7.5,Na,Na
3036,2019-2020,Fethiye Bld.,Samsun,2020-07-03,82,72,Na,Na,1.04,7.2,Na,Na,1.05,7.75,Na,Na,Na,Na,1.04,9.6,1.03,10.5,1.07,8.0,Na,Na
3037,2019-2020,Gemlik,Merkezefendi,2020-07-03,87,116,Na,Na,3.0,1.3,Na,Na,3.3,1.28,Na,Na,Na,Na,3.7,1.25,3.66,1.26,3.25,1.33,Na,Na
3038,2019-2020,Yalova Bld.,Mamak Bld.,2020-07-03,70,68,Na,Na,1.42,2.55,Na,Na,1.44,2.6,Na,Na,Na,Na,1.45,2.63,1.44,2.7,1.71,2.1,Na,Na
3039,2019-2020,Konyaspor,Balikesir,2020-07-03,74,72,Na,Na,1.75,1.9,Na,Na,1.72,2.0,Na,Na,Na,Na,1.63,2.19,1.57,2.27,1.38,2.98,Na,Na
3040,2019-2020,Anadolu Basket,Manisa,2020-06-03,67,82,Na,Na,1.8,1.85,Na,Na,1.8,1.9,Na,Na,Na,Na,1.73,2.04,1.75,2.02,1.59,2.32,Na,Na
3041,2019-2020,Duzce Belediye,Gemlik,2020-02-29,78,86,Na,Na,1.75,1.88,Na,Na,1.75,1.95,Na,Na,Na,Na,1.76,2.0,1.78,1.98,1.82,1.96,Na,Na
3042,2019-2020,Samsun,Akhisar Belediye,2020-02-29,55,71,Na,Na,2.85,1.33,Na,Na,2.95,1.35,Na,Na,Na,Na,2.99,1.36,2.98,1.37,2.77,1.43,Na,Na
3043,2019-2020,Yalova Bld.,Konyaspor,2020-02-29,83,61,Na,Na,1.41,2.55,Na,Na,1.4,2.7,Na,Na,Na,Na,1.41,2.77,1.42,2.75,1.98,1.8,Na,Na
3044,2019-2020,Balikesir,Socar Spor,2020-02-29,90,83,Na,Na,3.45,1.23,Na,Na,3.6,1.25,Na,Na,Na,Na,3.7,1.25,3.66,1.26,4.0,1.23,Na,Na
3045,2019-2020,Manisa,Fethiye Bld.,2020-02-29,78,86,Na,Na,1.82,1.82,Na,Na,1.85,1.85,Na,Na,Na,Na,1.84,1.9,1.88,1.86,2.39,1.56,Na,Na
3046,2019-2020,Final Spor,Anadolu Basket,2020-02-29,77,74,Na,Na,1.08,5.75,Na,Na,1.1,5.75,Na,Na,Na,Na,1.12,5.6,1.13,5.6,1.09,7.0,Na,Na
