"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"164","DC United","FC Dallas",2.25,3.1,2.75,"2005-05-28",0,2,2005,"USA"
"165","New England Revolution","Colorado Rapids",1.5,3.5,5.5,"2005-05-28",0,0,2005,"USA"
"166","Sporting Kansas City","Houston Dynamo",1.9,3.2,3.4,"2005-05-28",1,0,2005,"USA"
"167","New York Red Bulls","Chicago Fire",2.15,3.1,2.9,"2005-05-31",2,1,2005,"USA"
"168","Chivas USA","Sporting Kansas City",3.25,3.1,2,"2005-06-01",1,1,2005,"USA"
"169","Houston Dynamo","DC United",2,3.1,3.25,"2005-06-04",0,0,2005,"USA"
"170","Los Angeles Galaxy","New York Red Bulls",1.75,3.25,3.95,"2005-06-04",2,2,2005,"USA"
"171","New England Revolution","Sporting Kansas City",1.8,3.3,3.65,"2005-06-04",1,1,2005,"USA"
"172","Real Salt Lake","FC Dallas",2.54,3.1,2.4,"2005-06-04",0,2,2005,"USA"
"173","Chicago Fire","Chivas USA",1.55,3.5,5,"2005-06-04",5,2,2005,"USA"
"174","Los Angeles Galaxy","Real Salt Lake",1.5,3.5,5.8,"2005-06-11",1,0,2005,"USA"
"175","Sporting Kansas City","New England Revolution",2.35,3,2.75,"2005-06-11",0,2,2005,"USA"
"176","Columbus Crew","Colorado Rapids",1.85,3.15,3.7,"2005-06-11",1,0,2005,"USA"
"177","Chicago Fire","FC Dallas",2.45,3,2.54,"2005-06-12",2,0,2005,"USA"
"178","Chivas USA","Houston Dynamo",4,3.2,1.75,"2005-06-12",1,1,2005,"USA"
"179","New York Red Bulls","DC United",1.95,3.1,3.55,"2005-06-12",0,0,2005,"USA"
"180","DC United","Chicago Fire",2.25,3.1,2.8,"2005-06-15",4,3,2005,"USA"
"181","Chivas USA","Colorado Rapids",2.29,3,2.75,"2005-06-18",1,3,2005,"USA"
"182","DC United","New England Revolution",2.6,3.1,2.35,"2005-06-18",2,0,2005,"USA"
"183","Houston Dynamo","Real Salt Lake",1.75,3.2,4,"2005-06-18",3,0,2005,"USA"
"184","New York Red Bulls","Columbus Crew",1.85,3.1,3.7,"2005-06-18",3,2,2005,"USA"
"185","Chicago Fire","Sporting Kansas City",2.25,3.2,2.6,"2005-06-18",1,1,2005,"USA"
"186","Columbus Crew","New England Revolution",2.65,3.15,2.29,"2005-06-22",1,3,2005,"USA"
"187","FC Dallas","Chivas USA",1.3,4.3,7.5,"2005-06-22",2,1,2005,"USA"
"188","Real Salt Lake","Los Angeles Galaxy",3.3,3.25,1.95,"2005-06-22",1,1,2005,"USA"
"189","Colorado Rapids","FC Dallas",2.6,3.15,2.35,"2005-06-25",1,3,2005,"USA"
"190","Houston Dynamo","Los Angeles Galaxy",2.2,3.1,2.85,"2005-06-25",3,0,2005,"USA"
"191","New England Revolution","New York Red Bulls",1.95,3.15,3.35,"2005-06-25",4,2,2005,"USA"
"192","Sporting Kansas City","Chivas USA",1.5,3.6,5.4,"2005-06-25",3,0,2005,"USA"
"193","Chicago Fire","Real Salt Lake",1.5,3.6,5.4,"2005-06-26",3,1,2005,"USA"
"194","Chicago Fire","DC United",1.95,3.15,3.3,"2005-06-29",4,3,2005,"USA"
"195","Houston Dynamo","Colorado Rapids",1.9,3.15,3.5,"2005-06-29",1,0,2005,"USA"
"196","Sporting Kansas City","Columbus Crew",1.7,3.2,4.3,"2005-06-29",1,1,2005,"USA"
"197","Chivas USA","Chicago Fire",3.25,3.1,2,"2005-07-02",0,1,2005,"USA"
"198","Columbus Crew","DC United",2.2,3.1,2.85,"2005-07-02",0,1,2005,"USA"
"199","FC Dallas","Houston Dynamo",1.85,3,3.85,"2005-07-02",2,2,2005,"USA"
"200","Colorado Rapids","Sporting Kansas City",2.4,3,2.65,"2005-07-04",2,1,2005,"USA"
"201","Los Angeles Galaxy","New England Revolution",2.25,3,2.8,"2005-07-04",1,1,2005,"USA"
"202","Real Salt Lake","New York Red Bulls",2.9,3,2.2,"2005-07-04",2,2,2005,"USA"
"203","Chicago Fire","New England Revolution",2.15,3.1,2.9,"2005-07-09",1,0,2005,"USA"
"204","New York Red Bulls","Los Angeles Galaxy",1.85,3.2,3.55,"2005-07-09",2,1,2005,"USA"
"205","DC United","Houston Dynamo",2.2,3.1,2.8,"2005-07-15",3,0,2005,"USA"
"206","Los Angeles Galaxy","Chivas USA",1.45,3.7,5.9,"2005-07-16",2,0,2005,"USA"
